LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	MSE_SETUP7
Date	2025/04/14
Time	13:39:54.5128464698791503906
***End_of_Header***	
	
Channels	25																									
Samples	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	5500	
Date	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	
Time	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	0.090909	
***End_of_Header***																										
X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
0.000000	0.997994	0.002996	-0.000000	-0.000000	3.141593	-0.000000	1.000000	1.000000	NaN	2.721802	0.008170	0.000000	0.000000	3.141593	0.000000	0.002956	-0.000000	3.141593	-0.000000	-0.017441	-50.469872	-Inf	-0.000000	180.000000	-0.000000
0.090909	1.019757	0.002464	0.000000	-0.005414	-3.047180	0.000000	1.000000	1.000000	NaN	0.387990	0.000938	-0.000000	2.850865	-0.190901	-0.000000	0.002923	0.000000	-3.135438	0.000000	0.169932	-52.165686	-Inf	-0.310206	-174.590545	0.000000
0.181818	1.018369	0.002628	-0.000000	-0.010867	-2.977734	-0.000000	1.000000	1.000000	NaN	0.371767	0.000959	0.000000	2.560098	-0.406768	0.000000	0.001745	-0.000000	-2.069227	-0.000000	0.158101	-51.607863	-Inf	-0.622648	-170.611570	-0.000000
0.272727	1.015474	0.002859	0.000000	-0.016496	-2.945337	0.000000	1.000000	1.000000	NaN	0.345471	0.000973	-0.000000	2.269155	-0.659685	-0.000000	0.002553	0.000000	-2.178786	0.000000	0.133374	-50.875047	-Inf	-0.945166	-168.755370	0.000000
0.363636	1.012190	0.003118	-0.000000	-0.024229	-2.949447	-0.000000	1.000000	1.000000	NaN	0.310853	0.000958	0.000000	1.976109	-0.949109	0.000000	0.003130	0.000000	-2.287507	0.000000	0.105244	-50.121496	-Inf	-1.388223	-168.990865	-0.000000
0.454545	1.004176	0.003372	-0.000000	-0.030128	-2.984022	-0.000000	1.000000	1.000000	NaN	0.268462	0.000901	0.000000	1.684896	-1.268998	0.000000	0.003955	0.000000	-2.393408	0.000000	0.036194	-49.442447	-Inf	-1.726181	-170.971873	-0.000000
0.545455	0.999966	0.003597	-0.000000	-0.035858	-3.042965	-0.000000	1.000000	1.000000	NaN	0.222781	0.000801	-0.000000	1.393852	-1.613254	-0.000000	0.004206	-0.000000	-2.594674	-0.000000	-0.000296	-48.881309	-Inf	-2.054531	-174.349027	-0.000000
0.636364	0.984899	0.003783	-0.000000	-0.041863	-3.123033	-0.000000	1.000000	1.000000	NaN	0.172841	0.000664	-0.000000	1.102534	-1.978636	-0.000000	0.004693	-0.000000	-2.699364	-0.000000	-0.132169	-48.444216	-Inf	-2.398559	-178.936607	-0.000000
0.727273	0.961148	0.003936	-0.000000	-0.054220	3.056093	-0.000000	1.000000	1.000000	NaN	0.122621	0.000502	-0.000000	0.804863	-2.368010	-0.000000	0.004632	0.000000	-2.805639	0.000000	-0.344194	-48.098402	-Inf	-3.106587	175.101205	-0.000000
0.818182	0.915391	0.004116	-0.000000	-0.060988	2.908489	-0.000000	1.000000	1.000000	NaN	0.074261	0.000334	-0.000000	0.512781	-2.800928	-0.000000	0.005006	0.000000	-2.912836	0.000000	-0.767865	-47.711409	-Inf	-3.494380	166.644124	-0.000000
0.909091	0.798605	0.004716	-0.000000	-0.096896	2.625557	-0.000000	1.000000	1.000000	NaN	0.030385	0.000179	-0.000000	0.191559	2.914012	-0.000000	0.004643	0.000000	-3.070518	0.000000	-1.953359	-46.528673	-Inf	-5.551726	150.433315	-0.000000
1.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008782	8.266256E-5	0.000000	-3.055870	1.690121	0.000000	0.004304	0.000000	-3.079895	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
1.090909	1.261313	0.003935	-0.000000	-0.044811	-2.577800	-0.000000	1.000000	1.000000	NaN	0.039991	0.000125	0.000000	2.814610	0.281621	0.000000	0.003945	0.000000	3.115486	0.000000	2.016457	-48.101351	-Inf	-2.567461	-147.697057	-0.000000
1.181818	1.134721	0.003454	-0.000000	-0.075614	-2.875199	-0.000000	1.000000	1.000000	NaN	0.063730	0.000194	0.000000	2.498493	-0.301092	0.000000	0.003710	0.000000	-3.085462	0.000000	1.097779	-49.234702	-Inf	-4.332343	-164.736744	-0.000000
1.272727	1.086831	0.003328	-0.000000	-0.079094	-2.972525	-0.000000	1.000000	1.000000	NaN	0.079232	0.000243	0.000000	2.209699	-0.683732	0.000000	0.003022	-0.000000	-3.109931	-0.000000	0.723239	-49.555160	-Inf	-4.531774	-170.313158	-0.000000
1.363636	1.055840	0.003304	-0.000000	-0.093707	-3.005475	-0.000000	1.000000	1.000000	NaN	0.086469	0.000271	0.000000	1.909772	-1.001995	0.000000	0.002702	-0.000000	-2.866000	-0.000000	0.471964	-49.619465	-Inf	-5.369031	-172.201017	-0.000000
1.454545	1.025469	0.003373	-0.000000	-0.105027	-3.016240	-0.000000	1.000000	1.000000	NaN	0.085674	0.000282	0.000000	1.613138	-1.298075	0.000000	0.002738	0.000000	-2.650285	0.000000	0.218451	-49.438722	-Inf	-6.017609	-172.817836	-0.000000
